index ,code        ,current     ,time
    0 ,000001.XSHE ,    10.4    ,2024-03-19 15:00:00
    1 ,000001.XSHG ,  3064.0421 ,2024-03-19 15:00:00
    2 ,000002.XSHE ,     9.33   ,2024-03-19 15:00:00
    3 ,000002.XSHG ,  3211.9986 ,2024-03-19 15:00:00
    4 ,000003.XSHG ,   261.4459 ,2024-03-19 15:00:00
    5 ,000004.XSHE ,    15.18   ,2024-03-19 15:00:00
    6 ,000004.XSHG ,  2783.5512 ,2024-03-19 15:00:00
    7 ,000005.XSHE ,     0.83   ,2024-03-19 15:00:00
    8 ,000005.XSHG ,  2378.4861 ,2024-03-19 15:00:00
    9 ,000006.XSHE ,     3.97   ,2024-03-19 15:00:00
   10 ,000006.XSHG ,  4515.6132 ,2024-03-19 15:00:00
   11 ,000007.XSHE ,     4.53   ,2024-03-19 15:00:00
   12 ,000007.XSHG ,  4333.8152 ,2024-03-19 15:00:00
   13 ,000008.XSHE ,     2.72   ,2024-03-19 15:00:00
   14 ,000008.XSHG ,  2615.4758 ,2024-03-19 15:00:00
   15 ,000009.XSHE ,    11.32   ,2024-03-19 15:00:00
   16 ,000009.XSHG ,  5216.4433 ,2024-03-19 15:00:00
   17 ,000010.XSHE ,     2.45   ,2024-03-19 15:00:00
   18 ,000010.XSHG ,  7767.3536 ,2024-03-19 15:00:00
   19 ,000011.XSHE ,     8.32   ,2024-03-19 15:00:00
   20 ,000011.XSHG ,  6063.37   ,2024-03-19 15:00:00
   21 ,000012.XSHE ,     5.7    ,2024-03-19 15:00:00
   22 ,000012.XSHG ,   209.87   ,2024-03-19 15:00:00
   23 ,000014.XSHE ,    12.05   ,2024-03-19 15:00:00
   24 ,000015.XSHG ,  3053.1801 ,2024-03-19 15:00:00
   25 ,000016.XSHE ,     3.44   ,2024-03-19 15:00:00
   26 ,000016.XSHG ,  2418.1667 ,2024-03-19 15:00:00
   27 ,000017.XSHE ,     9.63   ,2024-03-19 15:00:00
   28 ,000017.XSHG ,  2588.9831 ,2024-03-19 15:00:00
   29 ,000018.XSHG ,  4299.5607 ,2024-03-19 15:00:00
   30 ,000019.XSHE ,     6.76   ,2024-03-19 15:00:00
   31 ,000019.XSHG ,  1016.4235 ,2024-03-19 15:00:00
   32 ,000020.XSHE ,    14.36   ,2024-03-19 15:00:00
   33 ,000020.XSHG ,  1102.4808 ,2024-03-19 15:00:00
   34 ,000021.XSHE ,    14.93   ,2024-03-19 15:00:00
   35 ,000021.XSHG ,   895.4552 ,2024-03-19 15:00:00
   36 ,000022.XSHG ,   237.524  ,2024-03-19 15:00:00
   37 ,000023.XSHE ,     4.38   ,2024-03-19 15:00:00
   38 ,000025.XSHE ,    15.98   ,2024-03-19 15:00:00
   39 ,000025.XSHG ,  1766.7996 ,2024-03-19 15:00:00
   40 ,000026.XSHE ,    10.55   ,2024-03-19 15:00:00
   41 ,000026.XSHG ,  3684.8619 ,2024-03-19 15:00:00
   42 ,000027.XSHE ,     6.9    ,2024-03-19 15:00:00
   43 ,000027.XSHG ,   750.5294 ,2024-03-19 15:00:00
   44 ,000028.XSHE ,    30.64   ,2024-03-19 15:00:00
   45 ,000028.XSHG ,  3133.3857 ,2024-03-19 15:00:00
   46 ,000029.XSHE ,    11.36   ,2024-03-19 15:00:00
   47 ,000029.XSHG ,  3568.5883 ,2024-03-19 15:00:00
   48 ,000030.XSHE ,     5.28   ,2024-03-19 15:00:00
   49 ,000030.XSHG ,  1982.9897 ,2024-03-19 15:00:00
   50 ,000031.XSHE ,     2.78   ,2024-03-19 15:00:00
   51 ,000031.XSHG ,  2584.33   ,2024-03-19 15:00:00
   52 ,000032.XSHE ,    20.35   ,2024-03-19 15:00:00
   53 ,000032.XSHG ,  2114.503  ,2024-03-19 15:00:00
   54 ,000033.XSHG ,  2225.9914 ,2024-03-19 15:00:00
   55 ,000034.XSHE ,    32.57   ,2024-03-19 15:00:00
   56 ,000034.XSHG ,  2051.5505 ,2024-03-19 15:00:00
   57 ,000035.XSHE ,     4.43   ,2024-03-19 15:00:00
   58 ,000035.XSHG ,  2587.3756 ,2024-03-19 15:00:00
   59 ,000036.XSHE ,     2.94   ,2024-03-19 15:00:00
   60 ,000036.XSHG , 12439.3763 ,2024-03-19 15:00:00
   61 ,000037.XSHE ,     8.19   ,2024-03-19 15:00:00
   62 ,000037.XSHG ,  5950.0604 ,2024-03-19 15:00:00
   63 ,000038.XSHG ,  4224.2329 ,2024-03-19 15:00:00
   64 ,000039.XSHE ,     8.91   ,2024-03-19 15:00:00
   65 ,000039.XSHG ,  2968.9765 ,2024-03-19 15:00:00
   66 ,000040.XSHE ,     3.27   ,2024-03-19 15:00:00
   67 ,000040.XSHG ,  3320.0289 ,2024-03-19 15:00:00
   68 ,000041.XSHG ,  2480.4394 ,2024-03-19 15:00:00
   69 ,000042.XSHE ,     4.77   ,2024-03-19 15:00:00
   70 ,000042.XSHG ,  1486.3934 ,2024-03-19 15:00:00
   71 ,000043.XSHG ,  1892.4863 ,2024-03-19 15:00:00
   72 ,000044.XSHG ,  3540.9548 ,2024-03-19 15:00:00
   73 ,000045.XSHE ,    10.09   ,2024-03-19 15:00:00
   74 ,000045.XSHG ,  4446.1001 ,2024-03-19 15:00:00
   75 ,000046.XSHG ,  3967.5802 ,2024-03-19 15:00:00
   76 ,000047.XSHG ,  3092.6163 ,2024-03-19 15:00:00
   77 ,000048.XSHE ,    18.01   ,2024-03-19 15:00:00
   78 ,000048.XSHG ,  1227.1268 ,2024-03-19 15:00:00
   79 ,000049.XSHE ,    24.42   ,2024-03-19 15:00:00
   80 ,000049.XSHG ,  1515.4301 ,2024-03-19 15:00:00
   81 ,000050.XSHE ,     9.03   ,2024-03-19 15:00:00
   82 ,000050.XSHG ,  1854.8402 ,2024-03-19 15:00:00
   83 ,000051.XSHG ,  7350.4183 ,2024-03-19 15:00:00
   84 ,000052.XSHG ,  2395.8921 ,2024-03-19 15:00:00
   85 ,000053.XSHG , 10023.4645 ,2024-03-19 15:00:00
   86 ,000054.XSHG ,  1154.7543 ,2024-03-19 15:00:00
   87 ,000055.XSHE ,     4.18   ,2024-03-19 15:00:00
   88 ,000055.XSHG ,  1273.8674 ,2024-03-19 15:00:00
   89 ,000056.XSHE ,     3.01   ,2024-03-19 15:00:00
   90 ,000056.XSHG ,  1080.1306 ,2024-03-19 15:00:00
   91 ,000057.XSHG ,  3267.4977 ,2024-03-19 15:00:00
   92 ,000058.XSHE ,     6.91   ,2024-03-19 15:00:00
   93 ,000058.XSHG ,  3839.9196 ,2024-03-19 15:00:00
   94 ,000059.XSHE ,     5.26   ,2024-03-19 15:00:00
   95 ,000059.XSHG ,  2632.5418 ,2024-03-19 15:00:00
   96 ,000060.XSHE ,     4.69   ,2024-03-19 15:00:00
   97 ,000060.XSHG ,  3523.693  ,2024-03-19 15:00:00
   98 ,000061.XSHE ,     6.3    ,2024-03-19 15:00:00
   99 ,000061.XSHG ,   171.42   ,2024-03-19 15:00:00
  100 ,000062.XSHE ,     9.97   ,2024-03-19 15:00:00
  101 ,000062.XSHG ,  1615.4758 ,2024-03-19 15:00:00
  102 ,000063.XSHE ,    29.06   ,2024-03-19 15:00:00
  103 ,000063.XSHG ,  2870.8981 ,2024-03-19 15:00:00
  104 ,000064.XSHG ,  2998.9074 ,2024-03-19 15:00:00
  105 ,000065.XSHE ,    11.7    ,2024-03-19 15:00:00
  106 ,000065.XSHG ,  3013.3243 ,2024-03-19 15:00:00
  107 ,000066.XSHE ,    10.46   ,2024-03-19 15:00:00
  108 ,000066.XSHG ,  2589.5074 ,2024-03-19 15:00:00
  109 ,000067.XSHG ,  5955.2996 ,2024-03-19 15:00:00
  110 ,000068.XSHE ,     4.22   ,2024-03-19 15:00:00
  111 ,000068.XSHG ,  2835.261  ,2024-03-19 15:00:00
  112 ,000069.XSHE ,     2.89   ,2024-03-19 15:00:00
  113 ,000069.XSHG ,  4841.4694 ,2024-03-19 15:00:00
  114 ,000070.XSHE ,     9.26   ,2024-03-19 15:00:00
  115 ,000070.XSHG ,  3027.3838 ,2024-03-19 15:00:00
  116 ,000071.XSHG ,  2971.128  ,2024-03-19 15:00:00
  117 ,000072.XSHG ,  2659.3684 ,2024-03-19 15:00:00
  118 ,000073.XSHG ,  2862.3065 ,2024-03-19 15:00:00
  119 ,000074.XSHG ,  7721.8292 ,2024-03-19 15:00:00
  120 ,000075.XSHG ,  7124.1193 ,2024-03-19 15:00:00
  121 ,000076.XSHG ,  4088.3832 ,2024-03-19 15:00:00
  122 ,000077.XSHG ,  3576.2335 ,2024-03-19 15:00:00
  123 ,000078.XSHE ,     2.56   ,2024-03-19 15:00:00
  124 ,000078.XSHG ,  2725.2211 ,2024-03-19 15:00:00
  125 ,000079.XSHG ,  2372.2185 ,2024-03-19 15:00:00
  126 ,000088.XSHE ,     4.76   ,2024-03-19 15:00:00
  127 ,000089.XSHE ,     6.59   ,2024-03-19 15:00:00
  128 ,000090.XSHE ,     4.67   ,2024-03-19 15:00:00
  129 ,000090.XSHG ,  1109.7044 ,2024-03-19 15:00:00
  130 ,000091.XSHG , 10214.0508 ,2024-03-19 15:00:00
  131 ,000092.XSHG ,  3468.7084 ,2024-03-19 15:00:00
  132 ,000093.XSHG , 10236.8211 ,2024-03-19 15:00:00
  133 ,000094.XSHG ,  3072.0306 ,2024-03-19 15:00:00
  134 ,000095.XSHG ,  2631.3603 ,2024-03-19 15:00:00
  135 ,000096.XSHE ,    10.61   ,2024-03-19 15:00:00
  136 ,000096.XSHG ,  4320.2703 ,2024-03-19 15:00:00
  137 ,000097.XSHG ,  7629.0064 ,2024-03-19 15:00:00
  138 ,000098.XSHG ,  4451.5912 ,2024-03-19 15:00:00
  139 ,000099.XSHE ,    13.11   ,2024-03-19 15:00:00
  140 ,000099.XSHG ,  7348.7765 ,2024-03-19 15:00:00
  141 ,000100.XSHE ,     4.64   ,2024-03-19 15:00:00
